119 eskwg 27575586 6,77 0
118 gfulx 28478205 7,18 0
117 xzayi 4967745 3,8 0
116 sjrlt 27921469 1,95 0
115 ggymk 13726865 3,34 0
114 lodsa 19520582 0,23 0
113 olopx 47116609 9,16 0
112 azbba 35728133 9,7 0
111 otbiw 5541698 0,61 0
110 xston 9414531 6,72 0
109 txacz 6430696 8,09 0
108 dqlzm 16739501 5,95 0
107 uefna 32502360 8,24 0
106 mnokr 30135286 8,48 0
105 yfxtb 33797003 0,35 0
104 jefoh 35199445 1,66 0
103 vcnra 39077198 0,09 0
102 bhumq 35017284 1,61 0
101 yxhop 7817410 4,38 0
100 tkdde 50971856 7,89 0
